benchmark,variant,run,success,planning_time,roadmap_nodes,path_points,path_length,point_checks,line_checks,error_type
Fat bottleneck,LazyPRM,19,1,0.7392566000053193,1453,13,32.94543715679856,1971,43,
Fat bottleneck,LazyPRM,20,1,0.08906089997617528,273,8,33.88753608624251,1227,34,
Fat bottleneck,LazyPRM,21,1,0.005689899990102276,12,4,30.1838299292884,155,4,
Fat bottleneck,LazyPRM,22,1,0.09520630000042729,241,8,27.434597593727084,1458,45,
Fat bottleneck,LazyPRM,23,1,0.05608569999458268,101,7,38.885822050379254,1282,41,
Fat bottleneck,LazyPRM,24,1,0.03435429997625761,56,7,37.67490367574288,869,27,
Fat bottleneck,LazyPRM,25,1,0.0072908999864012,9,4,32.12350753184827,190,6,
Fat bottleneck,LazyPRM,26,1,0.07228309998754412,153,8,29.999613192839654,1247,39,
Fat bottleneck,LazyPRM,27,1,0.06461119998130016,144,8,33.499363231199574,1029,35,
Fat bottleneck,LazyPRM,28,1,0.028511300013633445,50,6,28.201656174788624,598,23,
Fat bottleneck,LazyPRM,29,0,1.0015624999941792,1707,0,0.0,1813,31,
Fat bottleneck,LazyPRM,30,1,0.1340599000104703,405,10,27.469860181059822,1468,42,
Fat bottleneck,LazyPRM,31,1,0.03440110001247376,85,7,29.93358488387249,700,22,
Fat bottleneck,LazyPRM,32,1,0.1140822000161279,421,8,27.562543499810616,1098,32,
Fat bottleneck,LazyPRM,33,1,0.1485038999817334,515,11,31.44126825383931,1108,23,
Fat bottleneck,LazyPRM,34,1,0.05654819999472238,155,7,31.40733431663594,1068,39,
Fat bottleneck,LazyPRM,35,1,0.046626700001070276,67,7,28.58364627199203,1182,39,
Fat bottleneck,LazyPRM,36,1,0.04588669998338446,94,8,36.73505599137397,934,34,
Fat bottleneck,LazyPRM,37,1,0.6788757999893278,1458,12,29.736665811468857,1544,30,
Fat bottleneck,LazyPRM,38,1,0.1375943000020925,418,8,26.923978847925554,1579,47,
Fat bottleneck,LazyPRM,39,1,0.12712520000059158,362,9,40.04346054867401,1138,32,
Fat bottleneck,LazyPRM,40,1,0.041685500007588416,26,7,48.41882728445659,963,28,
Fat bottleneck,LazyPRM,41,1,0.022867899999255314,23,5,27.10556091446998,532,18,
Fat bottleneck,LazyPRM,42,1,0.07167289999779314,140,9,30.670268116429664,1303,45,
Fat bottleneck,LazyPRM,43,1,0.03871849999995902,53,6,27.077065396122705,851,33,
Fat bottleneck,LazyPRM,44,1,0.058638399990741163,190,8,29.608966504197753,895,25,
Fat bottleneck,LazyPRM,45,1,0.028311200003372505,21,6,35.194304406188245,710,27,
Fat bottleneck,LazyPRM,46,1,0.015057199983857572,21,5,26.440987871649874,391,13,
Fat bottleneck,LazyPRM,47,1,0.036262900015572086,89,7,28.898249838690543,780,30,
Fat bottleneck,LazyPRM,48,1,0.028462199989007786,29,6,30.42167762466687,771,30,
Fat bottleneck,LazyPRM,49,1,0.08097869998891838,185,8,30.375221686052775,1481,49,
Fat bottleneck,BasicPRM,0,0,0.7553791000100318,252,0,0.0,10671,250,
Fat bottleneck,BasicPRM,1,0,0.7612727000087034,252,0,0.0,10785,261,
Fat bottleneck,BasicPRM,2,1,0.8058099999907427,252,12,32.53574136347964,10748,256,
Fat bottleneck,BasicPRM,3,0,0.8222782999800984,252,0,0.0,10644,252,
Fat bottleneck,BasicPRM,4,1,0.7700248000037391,252,14,36.41720816860657,10808,259,
Fat bottleneck,BasicPRM,5,0,0.774058300012257,252,0,0.0,10629,250,
Fat bottleneck,BasicPRM,6,0,0.7535923999967054,252,0,0.0,10632,251,
Fat bottleneck,BasicPRM,7,0,0.7293711999955121,252,0,0.0,10712,254,
Fat bottleneck,BasicPRM,8,0,0.7590878000191879,252,0,0.0,10717,254,
Fat bottleneck,BasicPRM,9,0,0.7379185000027064,252,0,0.0,10727,256,
Fat bottleneck,BasicPRM,10,0,0.7577880000171717,252,0,0.0,10726,258,
Fat bottleneck,BasicPRM,11,0,0.7670715999847744,252,0,0.0,10647,252,
Fat bottleneck,BasicPRM,12,0,0.710198799992213,252,0,0.0,10745,258,
Fat bottleneck,BasicPRM,13,0,0.6983963999955449,252,0,0.0,10710,255,
Fat bottleneck,BasicPRM,14,1,0.7819095999875572,252,13,31.949770750042187,10918,263,
Fat bottleneck,BasicPRM,15,1,0.7080180000048131,252,17,43.056908942049176,10709,254,
Fat bottleneck,BasicPRM,16,0,0.7181641999923158,252,0,0.0,10706,255,
Fat bottleneck,BasicPRM,17,1,0.7009417000226676,252,13,32.158262738526986,10695,251,
Fat bottleneck,BasicPRM,18,1,0.708684400015045,252,18,52.14587083489519,10713,252,
Fat bottleneck,BasicPRM,19,0,0.6765706999867689,252,0,0.0,10685,254,
Fat bottleneck,BasicPRM,20,1,0.6913613999786321,252,16,40.66174974608362,10813,263,
Fat bottleneck,BasicPRM,21,1,0.6900113000010606,252,13,33.80092384499404,10664,251,
Fat bottleneck,BasicPRM,22,0,0.6891413000121247,252,0,0.0,10660,254,
Fat bottleneck,BasicPRM,23,1,0.6631541000097059,252,18,43.69725850506665,10731,254,
Fat bottleneck,BasicPRM,24,1,0.6784112000023015,252,15,39.74362238043258,10751,258,
Fat bottleneck,BasicPRM,25,0,0.7409483999945223,252,0,0.0,10764,258,
