benchmark,setting,initial_roadmap_size,update_roadmap_size,k_nearest,run,success,planning_time,roadmap_nodes,error_type
Nested Trap,small,5,3,4,31,1,0.10451699999975972,277,
Nested Trap,small,5,3,4,32,1,0.06709110000520013,210,
Nested Trap,small,5,3,4,33,1,0.023473400011425838,20,
Nested Trap,small,5,3,4,34,1,0.0343406000174582,48,
Nested Trap,small,5,3,4,35,1,0.029590199992526323,47,
Nested Trap,small,5,3,4,36,1,0.7092047999904025,1600,
Nested Trap,small,5,3,4,37,1,0.10208939999574795,366,
Nested Trap,small,5,3,4,38,1,0.02470710000488907,26,
Nested Trap,small,5,3,4,39,1,0.019902000000001863,47,
Nested Trap,small,5,3,4,40,1,0.06543050002073869,199,
Nested Trap,small,5,3,4,41,1,0.2431747000082396,897,
Nested Trap,small,5,3,4,42,1,0.0498749999969732,77,
Nested Trap,small,5,3,4,43,1,0.034012299991445616,45,
Nested Trap,small,5,3,4,44,1,0.03072690000408329,117,
Nested Trap,small,5,3,4,45,1,0.08283990001655184,301,
Nested Trap,small,5,3,4,46,1,0.0577445000235457,128,
Nested Trap,small,5,3,4,47,1,0.05173480001394637,75,
Nested Trap,small,5,3,4,48,1,0.06251220000558533,187,
Nested Trap,small,5,3,4,49,1,0.06004189999657683,188,
Nested Trap,baseline,10,5,8,0,1,0.033087699994212016,33,
Nested Trap,baseline,10,5,8,1,1,0.09428829999524169,71,
Nested Trap,baseline,10,5,8,2,1,0.04854280001018196,23,
Nested Trap,baseline,10,5,8,3,1,0.09957839999697171,82,
Nested Trap,baseline,10,5,8,4,1,0.13299589999951422,171,
Nested Trap,baseline,10,5,8,5,1,0.07751360000111163,37,
Nested Trap,baseline,10,5,8,6,1,0.03303849999792874,19,
Nested Trap,baseline,10,5,8,7,1,0.05715580002288334,39,
Nested Trap,baseline,10,5,8,8,1,0.04503800001111813,23,
Nested Trap,baseline,10,5,8,9,1,0.04837900001439266,46,
Nested Trap,baseline,10,5,8,10,1,0.06057579998741858,50,
Nested Trap,baseline,10,5,8,11,1,0.08135289998608641,55,
Nested Trap,baseline,10,5,8,12,1,0.02492369999527,16,
Nested Trap,baseline,10,5,8,13,1,0.04966150000109337,43,
Nested Trap,baseline,10,5,8,14,1,0.12144570000236854,127,
Nested Trap,baseline,10,5,8,15,1,0.10543220001272857,72,
Nested Trap,baseline,10,5,8,16,1,0.11096879999968223,107,
Nested Trap,baseline,10,5,8,17,1,0.07470640001702122,36,
Nested Trap,baseline,10,5,8,18,1,0.0872539000120014,74,
Nested Trap,baseline,10,5,8,19,1,0.08664660001522861,50,
Nested Trap,baseline,10,5,8,20,1,0.0939117000089027,55,
Nested Trap,baseline,10,5,8,21,1,0.018045200005872175,11,
Nested Trap,baseline,10,5,8,22,1,0.0517579999868758,32,
Nested Trap,baseline,10,5,8,23,1,0.08112650000839494,39,
Nested Trap,baseline,10,5,8,24,1,0.10114230000181124,37,
Nested Trap,baseline,10,5,8,25,1,0.05889859999297187,27,
Nested Trap,baseline,10,5,8,26,1,0.03284230001736432,25,
Nested Trap,baseline,10,5,8,27,1,0.08665779998409562,61,
Nested Trap,baseline,10,5,8,28,1,0.07515099999727681,44,
Nested Trap,baseline,10,5,8,29,1,0.11334640000131913,108,
Nested Trap,baseline,10,5,8,30,1,0.07539390001329593,46,
Nested Trap,baseline,10,5,8,31,1,0.11930049999500625,154,
Nested Trap,baseline,10,5,8,32,1,0.09067509998567402,84,
Nested Trap,baseline,10,5,8,33,1,0.12776059997850098,164,
Nested Trap,baseline,10,5,8,34,1,0.039888700004667044,24,
Nested Trap,baseline,10,5,8,35,1,0.07329690002370626,77,
Nested Trap,baseline,10,5,8,36,1,0.07223670001258142,66,
Nested Trap,baseline,10,5,8,37,1,0.02644529999815859,15,
Nested Trap,baseline,10,5,8,38,1,0.04583610000554472,17,
Nested Trap,baseline,10,5,8,39,1,0.01617899999837391,16,
Nested Trap,baseline,10,5,8,40,1,0.059774499997729436,42,
Nested Trap,baseline,10,5,8,41,1,0.0413645000080578,29,
Nested Trap,baseline,10,5,8,42,1,0.0993853000109084,42,
Nested Trap,baseline,10,5,8,43,1,0.052253900008508936,19,
Nested Trap,baseline,10,5,8,44,1,0.028243100008694455,10,
Nested Trap,baseline,10,5,8,45,1,0.03273649999755435,17,
Nested Trap,baseline,10,5,8,46,1,0.022382099996320903,11,
Nested Trap,baseline,10,5,8,47,1,0.0998136000125669,83,
Nested Trap,baseline,10,5,8,48,1,0.1992335999966599,104,
Nested Trap,baseline,10,5,8,49,1,0.09178940000128932,99,
